Deal name masked,Customer Name Code,Serial #,Nature of Work,Last executed month of recurring project,Execution Status,Data Delivery Date,Date of PO/LOI,Document Type,Probable Start Date,Probable End Date,BD/KAM Personnel code,Sector,Type of Work,Is any Skylark software platform part of the client deliverables in this deal?,Last invoice date,latest invoice no.,Amount in Rupees (Excl of GST) (Masked),Amount in Rupees (Incl of GST) (Masked),Billed Value in Rupees (Excl of GST.) (Masked),Billed Value in Rupees (Incl of GST.) (Masked),Collected Amount in Rupees (Incl of GST.) (Masked),Amount to be billed in Rs. (Exl. of GST) (Masked),Amount to be billed in Rs. (Incl. of GST) (Masked),Amount Receivable (Masked),AR Priority account,Quantity by Ops,Quantities as per PO,Quantity billed (till date),Balance in quantity,Invoice Status,Expected Billing Month,Actual Billing Month,Actual Collection Month,WO Status (billed),Collection status,Collection Date,Billing Status
Scooby-Doo,WOCOMPANY_002,SDPLDEAL-137,One time Project,,Ongoing,,2025-09-27,Purchase Order,2025-09-29,2025-10-30,OWNER_003,Mining,Others,NONE,,,143051.2,168800.416,,0,,143051.2,168800.416,0,,,1,,1,,,,,,,,
Alias_160,WOCOMPANY_051,SDPLDEAL-138,One time Project,,Pause / struck,,2025-09-19,Purchase Order,2025-10-06,2025-10-30,OWNER_001,Mining,Topography Survey: RGB,SPECTRA,,,261901.7132,309044.0216,,0,,261901.7132,309044.0216,0,,,1464.66 HA,,1464.66,Not billed yet,,,,,,,
Scooby-Doo,WOCOMPANY_002,SDPLDEAL-139,One time Project,,Ongoing,,2025-10-03,Purchase Order,2025-09-20,2025-10-20,OWNER_003,Mining,LiDAR Survey: LiDAR,NONE,,,699730.012,825681.4142,,0,,699730.012,825681.4142,0,,,1,,1,,,,,,,,
Trunks,WOCOMPANY_015,SDPLDEAL-140,One time Project,,Ongoing,,2025-10-08,Purchase Order,2025-09-29,2025-10-31,OWNER_003,Railways,LiDAR Survey: LiDAR,NONE,,,3237150,3819837,,0,,3237150,3819837,0,,,350 KM,,350,,,,,,,,
Scooby-Doo,WOCOMPANY_002,SDPLDEAL-141,One time Project,,Not Started,,2025-10-09,Purchase Order,2025-09-30,2025-10-30,OWNER_003,Mining,LiDAR Survey: LiDAR,NONE,,,383192.236,452166.8385,,0,,383192.236,452166.8385,0,,,1,,1,,,,,,,,
Inuyasha,WOCOMPANY_016,SDPLDEAL-142,One time Project,,Completed,2026-01-08,2025-10-14,Purchase Order,2025-10-17,2025-11-10,OWNER_003,Renewables,"Topography Survey: RGB, Hydrology, Flood Risk",NONE,,,419288,494759.84,,0,,419288,494759.84,0,,,1,,1,Stuck,,,,,,,
Patrick Star,WOCOMPANY_030,SDPLDEAL-143,One time Project,,Completed,2025-11-05,2025-10-16,Purchase Order,2025-10-08,2025-10-16,OWNER_001,Others,Hydrology,NONE,,,246640,291035.2,246640,291035.2,,0,0,291035.2,,,10 ha,,10,Fully Billed,,Dec,,,,,
Kaguya,WOCOMPANY_014,SDPLDEAL-144,One time Project,,Ongoing,,2025-10-27,Purchase Order,2025-11-03,2025-12-01,OWNER_003,Railways,"Road/rail survey, LiDAR Survey: LiDAR",NONE,,,4628199.6,5461275.528,,0,,4628199.6,5461275.528,0,,,278,,278,,,,,,,,
Sakura,WOCOMPANY_002,SDPLDEAL-145,One time Project,,Not Started,,2025-10-27,Purchase Order,2025-10-27,2025-11-03,OWNER_003,Mining,Raw images/videography,NONE,,,64373.04,75960.1872,,0,,64373.04,75960.1872,0,,,1,,1,,,,,,,,
Scooby-Doo,WOCOMPANY_002,SDPLDEAL-146,One time Project,,Ongoing,,2025-10-27,Purchase Order,2025-10-27,2025-11-03,OWNER_003,Mining,"LiDAR Survey: LiDAR, Mine survey",NONE,,,679308.22,801583.6996,,0,,679308.22,801583.6996,0,,,1,,1,,,,,,,,
Katara,WOCOMPANY_037,SDPLDEAL-147,One time Project,,Partial Completed,2025-12-18,2025-10-28,Purchase Order,2025-11-03,2025-11-11,OWNER_003,Railways,"LiDAR Survey: LiDAR, Road/rail survey, Others",NONE,,,1850391.936,2183462.484,,0,,1850391.936,2183462.484,0,,,NA . Verbal confirmation for 59 km,,,,,,,,,,Stuck
Sakura,WOCOMPANY_002,SDPLDEAL-149,Monthly Contract,,Ongoing,,2025-10-30,Purchase Order,2025-11-01,2026-04-01,OWNER_003,Renewables,Others,SPECTRA,,,6011850,7093983,,0,,6011850,7093983,0,,,"4,875,000.000",,4,,,,,,,,
Dolphin,WOCOMPANY_029,SDPLDEAL-150,One time Project,,Ongoing,,2025-08-12,LOA/LOI,2025-08-20,2025-12-16,OWNER_002,Powerline,LiDAR Survey: LiDAR,NONE,,,5026523.2,5931297.376,,0,,5026523.2,5931297.376,0,,,1250 towers,,1250,,,,,,,,
Yuji Itadori,WOCOMPANY_006,SDPLDEAL-151,One time Project,,Completed,2025-12-17,2025-11-06,Purchase Order,2025-11-10,2025-12-01,OWNER_003,Renewables,"Hydrology, Topography Survey: RGB",NONE,,SDPL/FY25-26/442,339130,400173.4,339130,400173.4,400173.4,0,0,0,,,1,,1,,,,,,,,Update Required
Ben Tennyson,WOCOMPANY_033,SDPLDEAL-152,One time Project,,Completed,2026-01-09,2025-11-04,Email Confirmation,2025-11-07,2025-11-28,OWNER_003,Renewables,"Topography Survey: RGB, Hydrology",NONE,,,295968,349242.24,,0,,295968,349242.24,0,,,1,,1,,,,,,,,Update Required
Megumi,WOCOMPANY_007,SDPLDEAL-153,One time Project,,Completed,,2025-04-01,Purchase Order,2025-04-01,2025-04-10,OWNER_003,Renewables,Others,NONE,2025-03-31,SDPL/FY24-25/577,365779.452,431619.7534,365779.452,431619.7534,431620,0,0,-0.24664,,,1,,1,Fully Billed,,,,Closed,,,
Donkey,WOCOMPANY_040,SDPLDEAL-154,One time Project,,Ongoing,,2025-11-10,Purchase Order,2025-11-13,2025-12-31,OWNER_003,Railways,"LiDAR Survey: LiDAR, Road/rail survey, Raw images/videography",NONE,,,1346654.4,1589052.192,,0,,1346654.4,1589052.192,0,,,104 km,,104,,,,,,,,
Donkey,WOCOMPANY_040,SDPLDEAL-155,One time Project,,Ongoing,,2025-11-12,Purchase Order,2025-11-13,2026-01-31,OWNER_003,Railways,"LiDAR Survey: LiDAR, Road/rail survey",NONE,,,9089917.2,10726102.3,,0,,9089917.2,10726102.3,0,,,702,,702,,,,,,,,
Golden fish,WOCOMPANY_027,SDPLDEAL-156,Proof of Concept,,Not Started,,2025-10-16,LOA/LOI,2025-12-01,2025-12-31,OWNER_006,Mining,"LiDAR Survey: LiDAR, Volumetric survey",SPECTRA,,,0,0,,0,,0,0,0,,,0,,0,,,,,Open,,,Not Billable
Alphonse,WOCOMPANY_009,SDPLDEAL-157,One time Project,,,,2025-11-14,Purchase Order,2025-11-14,2025-11-14,OWNER_005,Renewables,Others,SPECTRA,2025-11-19,SDPL/FY25-26/549,277470,327414.6,277470,327414.6,321865.2,0,0,5549.4,,,3 subscriptions,,3,Partially Billed,,,,,,,
Alphonse,WOCOMPANY_009,SDPLDEAL-158,One time Project,,Completed,2025-11-01,2025-10-23,Purchase Order,2025-10-16,2025-10-31,OWNER_001,Renewables,"Hydrology, Topography Survey: RGB",NONE,2025-11-21,SDPL/FY25-26/554,477248.4,563153.112,477248.4,563153.112,515428.272,0,0,47724.84,,,220HA,,220,Fully Billed,,November,,Closed,,,
Timon,WOCOMPANY_046,SDPLDEAL-159,One time Project,,Completed,2025-12-05,2025-11-08,Purchase Order,2025-11-03,2025-12-20,OWNER_001,Renewables,Others,SPECTRA,,,277470,327414.6,277470,327414.6,,0,0,327414.6,,,45days,,45,Fully Billed,,Dec,,,,,
Timon,WOCOMPANY_046,SDPLDEAL-160,One time Project,,Completed,2025-12-04,2025-11-08,Purchase Order,2025-11-03,2025-12-20,OWNER_001,Renewables,"Powerline Inspection, Videography for construction monitoring, Others",SPECTRA,,,277470,327414.6,277470,327414.6,,0,0,327414.6,,,45 days,,45,Not billed yet,,,,,,,
Scooby-Doo,WOCOMPANY_002,SDPLDEAL-161,One time Project,,Completed,2026-01-08,2025-11-21,Purchase Order,2025-11-20,2025-11-30,OWNER_003,Mining,LiDAR Survey: LiDAR,NONE,,,304452.416,359253.8509,,0,,304452.416,359253.8509,0,,,1,,1,,,,,,,,Update Required
