Deal Name,Owner code,Client Code,Deal Status,Close Date (A),Closure Probability,Masked Deal value,Tentative Close Date,Deal Stage,Product deal,Sector/service,Created Date
Tanjiro,OWNER_003,COMPANY186,Open,,High,489360,2026-01-31,E. Proposal/Commercials Sent,Pure Service,Mining,2026-01-08
Tanjiro,OWNER_001,COMPANY038,,,,,,A. Lead Generated,,,2026-01-08
Tanjiro,OWNER_001,COMPANY039,Open,,High,2079780,2026-01-13,A. Lead Generated,,,2026-01-08
Tanjiro,OWNER_001,COMPANY136,Open,,High,1468080,2026-01-31,A. Lead Generated,,,2026-01-08
Zenitsu,OWNER_003,COMPANY190,Dead,,,,2024-10-31,N. Not relevant at the moment,Pure Service,Others,2024-09-12
Inosuke,OWNER_003,COMPANY186,Dead,,,,2024-10-31,N. Not relevant at the moment,Pure Service,Others,2024-09-12
Gojo,OWNER_005,COMPANY101,Dead,,,13457400,2025-06-30,E. Proposal/Commercials Sent,,Railways,2025-06-01
Yuji Itadori,,COMPANY172,Dead,,,,2025-06-19,L. Project Lost,,Mining,2024-08-09
Yuji Itadori,,COMPANY172,Dead,,,,2025-06-19,L. Project Lost,,Mining,2024-08-16
Yuji Itadori,OWNER_006,COMPANY118,Dead,,,,2025-05-31,L. Project Lost,,Construction,2025-04-25
Yuji Itadori,OWNER_002,COMPANY148,Dead,,,34866900,2025-05-31,O. Not Relevant at all,,Powerline,2025-04-25
Megumi,OWNER_002,COMPANY070,Dead,,,97872,2025-05-31,N. Not relevant at the moment,,Powerline,2025-04-25
Nobara,OWNER_006,COMPANY146,Dead,,,,2025-06-23,L. Project Lost,,Renewables,2025-04-30
Saitama,OWNER_006,COMPANY014,Dead,,,,2025-05-31,C. Demo Done,,Powerline,2025-04-30
Genos,OWNER_002,COMPANY168,Dead,,,53217.9,2025-06-30,N. Not relevant at the moment,,Powerline,2025-05-05
Finn the Human,,COMPANY186,Dead,,,,2024-11-25,J. Invoice sent,,Mining,2024-08-16
Edward Elric,OWNER_002,COMPANY179,Dead,,,,2025-06-23,L. Project Lost,,Powerline,2025-05-05
Alphonse,OWNER_007,COMPANY078,Dead,,,,2024-09-30,C. Demo Done,,Railways,2024-08-16
Alphonse,OWNER_003,COMPANY058,Dead,,,244680,2025-01-14,L. Project Lost,Pure Service,Renewables,2024-08-19
Alphonse,OWNER_003,COMPANY143,Dead,,,611700,2025-01-14,L. Project Lost,Pure Service,Renewables,2024-08-19
Alphonse,OWNER_003,COMPANY071,Dead,,,489360,2025-01-14,L. Project Lost,Pure Service,Renewables,2024-08-19
Alphonse,OWNER_003,COMPANY063,Dead,,,256914000,2025-05-13,M. Projects On Hold,Pure Service,Mining,2024-08-19
Alphonse,OWNER_003,COMPANY045,Dead,,,6117000,2025-05-13,M. Projects On Hold,Pure Service,Others,2024-08-21
Alphonse,OWNER_003,COMPANY120,Dead,,,,2025-05-13,M. Projects On Hold,Pure Service,Mining,2024-08-19
Alphonse,OWNER_003,COMPANY074,Dead,,,,2025-05-13,M. Projects On Hold,Pure Service,Others,2024-08-22
Alphonse,OWNER_006,COMPANY005,Dead,,,,2024-09-30,C. Demo Done,,Construction,2024-08-22
Alphonse,OWNER_003,COMPANY115,Dead,,,,2024-09-30,N. Not relevant at the moment,Pure Service,Renewables,2024-08-27
Alphonse,OWNER_003,COMPANY080,Dead,,,,2024-09-30,N. Not relevant at the moment,Pure Service,Others,2024-08-30
Alphonse,OWNER_003,COMPANY057,Dead,,,807444,2024-11-13,O. Not Relevant at all,Pure Service,Renewables,2024-09-12
Alphonse,OWNER_003,COMPANY148,Dead,,,,2024-10-31,N. Not relevant at the moment,Pure Service,Renewables,2024-09-16
Alphonse,OWNER_006,COMPANY078,Dead,,,,2024-11-18,L. Project Lost,,Railways,2024-09-20
Alphonse,OWNER_006,COMPANY112,Dead,,,,2024-10-31,N. Not relevant at the moment,,Others,2024-09-20
Alphonse,OWNER_003,COMPANY071,Dead,,,489360,2025-01-14,L. Project Lost,Pure Service,Renewables,2024-09-20
Alphonse,OWNER_003,COMPANY133,Dead,,,,2025-05-13,M. Projects On Hold,Pure Service,Renewables,2024-09-20
Alphonse,OWNER_003,COMPANY194,Dead,,,,2024-10-31,N. Not relevant at the moment,Pure Service,Construction,2024-09-20
Alphonse,OWNER_006,COMPANY142,Dead,,,,2024-11-08,L. Project Lost,,Others,2024-10-07
Spike Spiegel,OWNER_006,COMPANY169,Dead,,,,2025-06-23,L. Project Lost,,Powerline,2024-10-07
Faye Valentine,,COMPANY186,Dead,,,,2024-11-30,C. Demo Done,,Mining,2024-10-08
Kenshin,,COMPANY186,Dead,,,,2024-11-16,J. Invoice sent,,Mining,2024-11-01
Rei,,COMPANY172,Dead,,,,2024-12-31,E. Proposal/Commercials Sent,,Others,2024-11-02
Jake the Dog,,COMPANY017,Dead,,,,2024-12-31,E. Proposal/Commercials Sent,,Renewables,2024-11-05
Piccolo,OWNER_001,COMPANY085,Dead,,,,2025-06-23,M. Projects On Hold,,Mining,2024-11-17
Totoro,OWNER_003,COMPANY121,Dead,,,17739300,2025-05-13,L. Project Lost,Pure Service,Mining,2024-11-17
Chihiro,OWNER_003,COMPANY116,Dead,,,1223400,2025-01-14,L. Project Lost,Pure Service,Mining,2024-11-17
Howl,OWNER_003,COMPANY025,Dead,,,244680,2025-01-14,L. Project Lost,Pure Service,Others,2024-11-17
Kiki,OWNER_003,COMPANY133,Dead,,,244680,2025-05-13,M. Projects On Hold,Pure Service,Renewables,2024-11-17
Monkey D. Dragon,OWNER_001,COMPANY120,Dead,,,,2025-01-17,L. Project Lost,,Renewables,2024-11-17
Shanks,OWNER_003,COMPANY175,Dead,,,305850,2025-01-14,L. Project Lost,Pure Service,Mining,2024-11-17
Shanks,OWNER_003,COMPANY058,Dead,,,305850,2025-01-14,L. Project Lost,Pure Service,Renewables,2024-11-17
Pain,OWNER_006,COMPANY020,Dead,,,,2024-12-27,L. Project Lost,,Others,2024-11-17
Ace,OWNER_006,COMPANY122,Dead,,,,2024-12-13,L. Project Lost,,Renewables,2024-11-18
Gaara,OWNER_006,COMPANY122,Dead,,,,2025-06-22,L. Project Lost,,Renewables,2024-11-18
Itachi,OWNER_003,COMPANY157,Dead,,,21409500,2025-01-14,L. Project Lost,Pure Service,Mining,2024-11-19
Itachi,,COMPANY016,Dead,,,,2024-12-31,B. Sales Qualified Leads,,Renewables,2024-11-21
Itachi,,COMPANY172,Dead,,,,2025-01-31,B. Sales Qualified Leads,,Mining,2024-12-04
Itachi,,COMPANY018,Dead,,,,2024-12-20,J. Invoice sent,,Others,2024-12-12
Kaguya,OWNER_006,COMPANY150,Dead,,,,2025-01-31,L. Project Lost,,Renewables,2024-12-27
Kaguya,OWNER_006,COMPANY128,Dead,,,,2025-01-23,J. Invoice sent,,Mining,2025-01-03
Bulma,OWNER_003,COMPANY072,Dead,,,4037220,2025-07-04,L. Project Lost,Pure Service,Mining,2025-01-14
Trunks,OWNER_003,COMPANY038,Dead,,,489360,2025-02-28,N. Not relevant at the moment,Pure Service,Renewables,2025-01-16
Trunks,OWNER_003,COMPANY038,Dead,,,367020,2025-02-28,N. Not relevant at the moment,Pure Service,Renewables,2025-01-16
Killua,OWNER_003,COMPANY038,Dead,,,367020,2025-02-28,N. Not relevant at the moment,Pure Service,Renewables,2025-01-16
Gon,OWNER_003,COMPANY038,Dead,,,397605,2025-02-28,N. Not relevant at the moment,Pure Service,Renewables,2025-01-16
Kurapika,OWNER_001,COMPANY182,Dead,,,,2025-02-28,J. Invoice sent,,Mining,2025-01-17
Hisoka,OWNER_003,COMPANY185,Dead,,,,2025-02-28,N. Not relevant at the moment,Pure Service,Others,2025-01-21
Sailor Moon,OWNER_003,COMPANY196,Dead,,,,2025-03-27,L. Project Lost,Pure Service,Mining,2025-01-29
Sailor Moon,OWNER_006,COMPANY162,Dead,,,,2025-02-24,L. Project Lost,,Others,2025-02-19
Sailor Moon,OWNER_006,COMPANY160,Dead,,,,,N. Not relevant at the moment,,Mining,2025-03-11
Sailor Moon,OWNER_006,COMPANY146,Dead,,,,2025-06-22,M. Projects On Hold,,Renewables,2025-03-27
Inuyasha,OWNER_002,COMPANY125,Dead,,,2849787.96,2025-05-26,L. Project Lost,Service + Spectra,Powerline,2025-05-13
Sesshomaru,OWNER_002,COMPANY125,Dead,,,3988803.945,2025-05-26,L. Project Lost,Service + Spectra,Powerline,2025-05-13
